state,size,pop,normalized,abbr
"Washington, DC",3195,702455,454.8,DC
Arizona,2328,682865,340.9,AZ
Alaska,1349,738432,182.7,AK
Delaware,1685,945934,178.1,DE
Louisiana,8103,4670724,173.5,LA
S. Carolina,6939,4896146,141.7,SC
Illinois,17556,12859995,136.5,IL
Mississippi,3599,2992333,120.3,MS
Tennessee,7626,6600299,115.5,TN
Alabama,5471,4858979,112.6,AL
Missouri,6631,6083672,109.0,MO
Maryland,5798,6006401,96.5,MD
Arkansas,2842,2978204,95.4,AR
Kentucky,4157,4425092,93.9,KY
Indiana,5852,6619680,88.4,IN
Oklahoma,3455,3911338,88.3,OK
Ohio,10244,11613423,88.2,OH
Massachusetts,5981,6794422,88.0,MA
Georgia,8925,10214860,87.4,GA
Nebraska,1651,1896190,87.1,NE
N. Carolina,8739,10042802,87.0,NC
Connecticut,3067,3590886,85.4,CT
West Virginia,1575,1844128,85.4,WV
Rhode Island,895,1056298,84.7,RI
Wyoming,494,586107,84.3,WY
Wisconsin,4787,5771337,82.9,WI
Iowa,2517,3123899,80.6,IA
New Mexico,1645,2085109,78.9,NM
N. Dakota,573,756927,75.7,ND
Vermont,472,626042,75.4,VT
Florida,15029,20271272,74.1,FL
Kansas,2145,2911641,73.7,KS
New Hampshire,964,1330608,72.4,NH
Virginia,5949,8382993,71.0,VA
Pennsylvania,8929,12802503,69.7,PA
Maine,907,1329328,68.2,ME
Nevada,1952,2890845,67.5,NV
S. Dakota,544,858469,63.4,SD
Michigan,6136,9922576,61.8,MI
Montana,638,1032949,61.8,MT
New Jersey,5387,8958013,60.1,NJ
Colorado,3201,5456574,58.7,CO
Oregon,2286,4028977,56.7,OR
Texas,13577,27469114,49.4,TX
New York,9712,19795791,49.1,NY
Washington,3434,7170351,47.9,WA
Minnesota,2408,5489594,43.9,MN
California,16306,39144818,41.7,CA
Idaho,661,1654930,39.9,ID
Utah,1072,2995919,35.8,UT
Hawaii,289,1431603,20.2,HI
